site_no,datetime,parameter_code,parameter_name,value,unit,qualifier,statistic_id
01646500,2023-06-01 00:00:00+00:00,00060,Discharge,3020,ft3/s,A,Mean
01646500,2023-06-02 00:00:00+00:00,00060,Discharge,2840,ft3/s,A,Mean
01646500,2023-06-03 00:00:00+00:00,00060,Discharge,2510,ft3/s,A,Mean
01646500,2023-06-04 00:00:00+00:00,00060,Discharge,2450,ft3/s,A,Mean
01646500,2023-06-05 00:00:00+00:00,00060,Discharge,2350,ft3/s,A,Mean
01646500,2023-06-06 00:00:00+00:00,00060,Discharge,2140,ft3/s,A,Mean
01646500,2023-06-07 00:00:00+00:00,00060,Discharge,2090,ft3/s,A,Mean
01646500,2023-06-08 00:00:00+00:00,00060,Discharge,2160,ft3/s,A,Mean
01646500,2023-06-09 00:00:00+00:00,00060,Discharge,1910,ft3/s,A,Mean
01646500,2023-06-10 00:00:00+00:00,00060,Discharge,1840,ft3/s,A,Mean
01646500,2023-06-11 00:00:00+00:00,00060,Discharge,1740,ft3/s,A,Mean
01646500,2023-06-12 00:00:00+00:00,00060,Discharge,1700,ft3/s,A,Mean
01646500,2023-06-13 00:00:00+00:00,00060,Discharge,1810,ft3/s,A,Mean
01646500,2023-06-14 00:00:00+00:00,00060,Discharge,1760,ft3/s,A,Mean
01646500,2023-06-15 00:00:00+00:00,00060,Discharge,1770,ft3/s,A,Mean
