site_no,station_name,latitude,longitude,huc,site_type
01645200,"WATTS BRANCH AT ROCKVILLE, MD",39.084275,-77.1769249,2070008.0,ST
01645295,"POTOMAC RIVER BELOW WATTS BRANCH NEAR POTOMAC, MD",39.03777778,-77.2530556,2070008.0,ST
01645300,"POTOMAC RIVER NEAR POTOMAC, MD",39.0381646,-77.2552593,2070008.0,ST
01645305,"POTOMAC RIVER NEAR SHADY OAK, VA",39.03055556,-77.2447222,2070008.0,ST
01645310,"POTOMAC RIVER NEAR GREAT FALLS, MD",39.01277778,-77.2436111,2070008.0,ST
01645500,"POTOMAC RIVER AT GREAT FALLS, MD",39.00094304,-77.2485919,2070008.0,ST
01645520,"POTOMAC RIVER NEAR FAIRVIEW, VA",38.99055556,-77.2475,2070008.0,ST
01645525,"POTOMAC RIVER AT GLENDALE, VA",38.98055556,-77.2391667,2070008.0,ST
01645799,"DIFFICULT RUN AT W&OD RR NEAR VIENNA, VA",38.931222,-77.2983167,2070008.0,ST
01645800,"PINEY BRANCH AT VIENNA, VA",38.90177806,-77.2655381,2070008.0,ST
0164580569,"PINEY BRANCH NEAR VIENNA, VA",38.9166111,-77.28425,2070008.0,ST
0164581169,"PINEY BRANCH AT MOUTH NEAR VIENNA, VA",38.93149979,-77.2974834,2070008.0,ST
0164582028,"DIFFICULT RUN AT BROWNS MILL ROAD AT KENMORE, VA",38.95313889,-77.2915556,2070008.0,ST
01645830,"WOLFTRAP CREEK AT CREEK CROSSING RD AT VIENNA, VA",38.9145556,-77.2577599,2070008.0,ST
0164583313,"WOLFTRAP CREEK AT BOIS AVENUE NEAR VIENNA, VA",38.93202778,-77.2631111,2070008.0,ST
01645844,"OLD COURTHOUSE SPRING BRANCH NEAR VIENNA, VA",38.93902778,-77.25763889,2070008.0,ST
01645850,"WOLFTRAP CREEK NEAR VIENNA, VA",38.9506661,-77.284705,2070008.0,ST
0164585869,"DIFFICULT RUN ABOVE COLVIN RUN AT KENMORE, VA",38.9657222,-77.2879722,2070008.0,ST
0164590968,"COLVIN RUN AT MOUTH AT KENMORE, VA",38.9658333,-77.2880556,2070008.0,ST
0164592501,"DIFFICULT RUN AB CAPTAIN HICKORY RN AT KENMORE, VA",38.97191667,-77.2768611,2070008.0,ST
01645931,"CAPTAIN HICKORY RUN AB TRIB 1 NEAR GREAT FALLS, VA",38.99155,-77.29743889,2070008.0,ST
0164593308,"CAPTAIN HICKORY TRIB1 AB TRIB NR GREAT FALLS, VA",38.9949722,-77.2978333,2070008.0,ST
0164593423,"CAPTAIN HICKORY TRIB1 TRIB NEAR GREAT FALLS, VA",38.99344444,-77.2964444,2070008.0,ST
01645936,"CAPTAIN HICKORY RUN TRIB1 NEAR GREAT FALLS, VA",38.99147778,-77.2969361,2070008.0,ST
01645940,"CAPTAIN HICKORY RUN AT RT 681 NEAR GREAT FALLS, VA",38.98516667,-77.28863889,2070008.0,ST
0164595661,"PINEY RUN AT MOUTH NEAR GREAT FALLS, VA",38.98372107,-77.2863714,2070008.0,ST
0164595719,"CPT HKRY RN TRB AT COLUMBINE ST NR GREAT FALLS, VA",38.99571944,-77.289025,2070008.0,FA-STS
0164596042,"CAPTAIN HICKORY RUN AT MOUTH AT KENMORE, VA",38.97233239,-77.2769267,2070008.0,ST
01645975,"ROCKY RUN NEAR GREAT FALLS, VA",38.9712213,-77.24664779,2070008.0,ST
0164599725,"ROCKY RUN AT MOUTH NEAR GREAT FALLS, VA",38.97569444,-77.2464444,2070008.0,ST
01646000,"DIFFICULT RUN NEAR GREAT FALLS, VA",38.97594346,-77.24581439,2070008.0,ST
01646010,"POTOMAC RIVER AT CROPLEY, MD",38.98027778,-77.22888889,20700081005.0,ST
01646020,"POTOMAC RIVER NEAR CROPLEY, MD",38.97305556,-77.2141667,2070008.0,ST
01646200,"SCOTT RUN NEAR MCLEAN, VA",38.95899935,-77.20553599,2070008.0,ST
01646210,"POTOMAC RIVER AT CARDEROCK, MD",38.96916667,-77.1975,2070008.0,ST
01646220,"ROCK RUN NEAR CABIN JOHN, MD",38.9751102,-77.1824798,2070008.0,ST
01646230,"DEAD RUN AT CHURCHILL RD AT MCLEAN, VA",38.94483296,-77.1833134,2070008.0,ST
01646270,"DEAD RUN AT OLD GEORGETOWN PIKE NEAR MCLEAN, VA",38.95288838,-77.1830356,2070008.0,ST
01646300,"DEAD RUN NEAR MCLEAN, VA",38.9553883,-77.1805355,2070008.0,ST
01646305,"DEAD RUN AT WHANN AVENUE NEAR MCLEAN, VA",38.95977716,-77.1756743,2070008.0,ST
01646310,"POTOMAC RIVER AT CABIN JOHN, MD",38.97055556,-77.165,2070008.0,ST
01646350,"CABIN JOHN CREEK AT ROCKVILLE, MD",39.05594219,-77.1513685,2070008.0,ST
01646400,"POTOMAC RIVER AT GLEN ECHO, MD",38.9661111,-77.1455556,2070008.0,ST
01646500,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",38.94977778,-77.12763889,20700081005.0,ST
01646502,"POTOMAC RIVER, ADJUSTED, NEAR WASH, DC",38.94977778,-77.12763889,2070008.0,ST
01646508,POTOMAC RIVER BACKUP STATION,38.9494722,-77.1278056,2070008.0,ST
01646550,"LITTLE FALLS BRANCH NEAR BETHESDA, MD",38.9576106,-77.1083118,2070008.0,ST
01646562,DALECARLIA/POTOMAC R WATER INTAKE NEAR BETHESDA MD,38.94527778,-77.11527778,2070008.0,FA-OF
01646563,MILL CREEK TRIB NR DALECARLIA RES AT WASHINGTON DC,38.94555556,-77.1044444,2070008.0,ST
01646564,"MILL CREEK AT DALECARLIA RES NEAR CHEVY CHASE, MD",38.94563889,-77.10788889,2070008.0,ST
01646565,"EAST CREEK NR DALECARLIA RES AT WASHINGTON, DC",38.93977778,-77.1053056,2070008.0,ST
0164656550,EAST CREEK TRIB NR DALECARLIA RES AT WASHINGTON DC,38.9397222,-77.10527778,2070008.0,ST
01646566,"EAST CREEK AT DALECARLIA RES AT WASHINGTON, DC",38.94277778,-77.1085,2070008.0,ST
01646567,"EAST CREEK AT DALECARLIA RES NEAR CHEVY CHASE, MD",38.94563889,-77.10788889,2070008.0,ST
01646568,"MILL CREEK AT DALECARLIA RES NEAR BETHESDA, MD",38.946,-77.1085,2070008.0,ST
01646569,"MILL CREEK AT DALECARLIA RES AT BROOKMONT, MD",38.94513889,-77.1119444,2070008.0,ST
01646580,"POTOMAC RIVER AT CHAIN BRIDGE, AT WASHINGTON, DC",38.9295555,-77.1169232,2070010.0,ST
01646590,"PIMMIT RUN AT LEESBURG PIKE NEAR FALLS CHURCH, VA",38.90288919,-77.2024809,2070010.0,ST
01646599,"PIMMIT RUN AT RT 695 NEAR FALLS CHRUCH, VA",38.91177796,-77.1855359,2070010.0,ST
01646600,"PIMMIT RUN NEAR FALLS CHURCH, VA",38.91150019,-77.1844248,2070010.0,ST
01646620,"PIMMIT RUN AT WESTMORELAND RD NEAR MCLEAN, VA",38.915389,-77.177758,2070010.0,ST
01646650,"PIMMIT RUN AT OLD DOMINION DR AT MCLEAN, VA",38.92927768,-77.1697021,2070010.0,ST
01646660,"PIMMIT RUN BELOW BYRON BRANCH AT MCLEAN, VA",38.933056,-77.156389,20700100103.0,ST
01646700,"PIMMIT RUN AT ARLINGTON, VA",38.93622205,-77.1391458,2070010.0,ST
01646750,"LITTLE PIMMIT RUN TRIBUTARY AT ARLINGTON, VA",38.90511148,-77.137757,2070010.0,ST
01646755,"LITTLE PIMMIT RUN TRIB AT ARLINGTON, VA",38.90705589,-77.1385904,2070010.0,ST
01646780,"LITTLE PIMMIT RUN AT FRA-PARK RD AT ARLINGTON, VA",38.9170557,-77.14525719,2070010.0,ST
01646800,"LITTLE PIMMIT RUN AT ARLINGTON, VA",38.92288894,-77.1449794,2070010.0,ST
01646820,"LITTLE PIMMIT RUN AT KIRBY RD AT ARLINGTON, VA",38.93483319,-77.1399792,2070010.0,ST
01646850,"PIMMIT RUN NEAR NORTH RANDOLPH ST AT ARLINGTON, VA",38.93094439,-77.1241455,2070010.0,ST
01647500,"DONALDSON RUN AT MILITARY RD AT ARLINGTON, VA",38.9112225,-77.1135898,2070010.0,ST
01647505,"POTOMAC RIVER TRIBUTARY AT WASHINGTON, DC",38.92150014,-77.097756,2070010.0,ST
01647595,"POTOMAC RIVER AT KEY BRIDGE AT WASHINGTON, DC",38.90233385,-77.06942209,2070010.0,ST
01647600,"POTOMAC RIVER AT WISCONSIN AVE, WASHINGTON, DC",38.9033611,-77.0676667,2070010.0,ES
01647850,"TURKEY BRANCH NEAR ROCKVILLE, MD",39.068472,-77.08175,20700100101.0,ST
01647970,"ROCK CREEK NEAR BEACH DRIVE AT KENSINGTON, MD",39.02525,-77.0961944,2070010.0,ST
01647975,"ROCK CREEK AT BEACH DRIVE NEAR KENSINGTON, MD",39.02063889,-77.1001944,2070010.0,ST
01647976,"ROCK CREEK AT CEDAR LANE NEAR KENSINGTON, MD",39.0118611,-77.091,2070010.0,ST
01647994,ROCK CREEK AT MD/DC BOUNDRY AT WASHINGTON DC,38.98666667,-77.05277778,2070010.0,ST
01647996,"TRIB TO FENWICK BR AT RED BUD LANE, WASHINGTON DC",38.99305556,-77.0447222,2070010.0,ST
01647997,"PORTAL BRANCH AT NORTH PORTAL DR, WASHINGTON, DC",38.98944444,-77.0425,2070010.0,ST
0164799789,FENWICK BRANCH ABOVE ROCK CREEK AT WASHINGTON DC,38.98416667,-77.0422222,2070010.0,ST
0164799790,STORM SEWER FL TO ROCK CR BL FENWICK BR WASH DC,38.9836111,-77.0416667,2070010.0,ST
01647998,"ROCK CREEK BELOW WEST BEACH DRIVE WASHINGTON, DC",38.98299915,-77.0399493,2070010.0,ST
01648000,"ROCK CREEK AT SHERRILL DRIVE WASHINGTON, DC",38.9725,-77.04,20700100102.0,ST
01648001,Whittier Run above Rock Creek at Washington DC,38.97194444,-77.0397222,2070010.0,ST
01648002,Pinehurst Branch above Barnaby St at Washington DC,38.9783333,-77.05888889,2070010.0,ST
01648003,Pinehurst Br trib nr Barnaby St at Washington DC,38.97805556,-77.05888889,2070010.0,ST
01648004,"PINEHURST BRANCH AT OREGON AVENUE WASHINGTON, DC",38.9764159,-77.05172729,2070010.0,ST
01648005,"PINEHURST BRANCH AT BEACH DRIVE, WASHINGTON, DC",38.97141667,-77.0437222,2070010.0,ST
0164800550,Rock Creek trib near Bingham Dr at Washington DC,38.96888889,-77.0469444,2070010.0,ST
01648006,"ROCK CREEK TRIBUTARY AT GOLF COURSE WASHINGTON, DC",38.9668605,-77.0458938,2070010.0,ST
01648010,"ROCK CREEK AT JOYCE RD WASHINGTON, DC",38.96016667,-77.04205556,20700100102.0,ST
01648011,Luzon Branch above Rock Creek at Washington DC,38.96169444,-77.04138889,20700100102.0,ST
01648015,"BROAD BRANCH AT WASHINGTON, DC",38.95149968,-77.052755,2070010.0,ST
0164801540,Broad Branch above Soapstone Valley at Wash DC,38.94555556,-77.05138889,2070010.0,ST
0164801550,Soapstone Valley trib to Broad Branch at Wash DC,38.945,-77.0519444,2070010.0,ST
01648016,"ROCK CREEK AT PIERCE MILL WASHINGTON, DC",38.93780556,-77.05188889,2070010.0,ST
01648100,Rock Creek above Piney Branch at Washington DC,38.93527778,-77.04777778,2070010.0,ST
