site_no,datetime,parameter_code,parameter_name,value,unit,qualifier,statistic_id
01646500,2023-01-01 00:00:00+00:00,00060,Discharge,9710,ft3/s,A,Mean
01646500,2023-01-02 00:00:00+00:00,00060,Discharge,10000,ft3/s,A,Mean
01646500,2023-01-03 00:00:00+00:00,00060,Discharge,11300,ft3/s,A,Mean
01646500,2023-01-04 00:00:00+00:00,00060,Discharge,11900,ft3/s,A,Mean
01646500,2023-01-05 00:00:00+00:00,00060,Discharge,11600,ft3/s,A,Mean
01646500,2023-01-06 00:00:00+00:00,00060,Discharge,11500,ft3/s,A,Mean
01646500,2023-01-07 00:00:00+00:00,00060,Discharge,10500,ft3/s,A,Mean
01646500,2023-01-08 00:00:00+00:00,00060,Discharge,9460,ft3/s,A,Mean
01646500,2023-01-09 00:00:00+00:00,00060,Discharge,8570,ft3/s,A,Mean
01646500,2023-01-10 00:00:00+00:00,00060,Discharge,7860,ft3/s,A,Mean
01646500,2023-01-11 00:00:00+00:00,00060,Discharge,7300,ft3/s,A,Mean
01646500,2023-01-12 00:00:00+00:00,00060,Discharge,6860,ft3/s,A,Mean
01646500,2023-01-13 00:00:00+00:00,00060,Discharge,7030,ft3/s,A,Mean
01646500,2023-01-14 00:00:00+00:00,00060,Discharge,6750,ft3/s,A,Mean
01646500,2023-01-15 00:00:00+00:00,00060,Discharge,6460,ft3/s,A,Mean
01646500,2023-01-16 00:00:00+00:00,00060,Discharge,6290,ft3/s,A,Mean
01646500,2023-01-17 00:00:00+00:00,00060,Discharge,6000,ft3/s,A,Mean
01646500,2023-01-18 00:00:00+00:00,00060,Discharge,5770,ft3/s,A,Mean
01646500,2023-01-19 00:00:00+00:00,00060,Discharge,5630,ft3/s,A,Mean
01646500,2023-01-20 00:00:00+00:00,00060,Discharge,5700,ft3/s,A,Mean
01646500,2023-01-21 00:00:00+00:00,00060,Discharge,5870,ft3/s,A,Mean
01646500,2023-01-22 00:00:00+00:00,00060,Discharge,6340,ft3/s,A,Mean
01646500,2023-01-23 00:00:00+00:00,00060,Discharge,6920,ft3/s,A,Mean
01646500,2023-01-24 00:00:00+00:00,00060,Discharge,7950,ft3/s,A,Mean
01646500,2023-01-25 00:00:00+00:00,00060,Discharge,9220,ft3/s,A,Mean
01646500,2023-01-26 00:00:00+00:00,00060,Discharge,9800,ft3/s,A,Mean
01646500,2023-01-27 00:00:00+00:00,00060,Discharge,10000,ft3/s,A,Mean
01646500,2023-01-28 00:00:00+00:00,00060,Discharge,9720,ft3/s,A,Mean
01646500,2023-01-29 00:00:00+00:00,00060,Discharge,9610,ft3/s,A,Mean
01646500,2023-01-30 00:00:00+00:00,00060,Discharge,9420,ft3/s,A,Mean
01646500,2023-01-31 00:00:00+00:00,00060,Discharge,9050,ft3/s,A,Mean
01646500,2023-02-01 00:00:00+00:00,00060,Discharge,8790,ft3/s,A,Mean
01646500,2023-02-02 00:00:00+00:00,00060,Discharge,8380,ft3/s,A,Mean
01646500,2023-02-03 00:00:00+00:00,00060,Discharge,8020,ft3/s,"A, e",Mean
01646500,2023-02-04 00:00:00+00:00,00060,Discharge,7760,ft3/s,A,Mean
01646500,2023-02-05 00:00:00+00:00,00060,Discharge,7760,ft3/s,A,Mean
01646500,2023-02-06 00:00:00+00:00,00060,Discharge,7360,ft3/s,A,Mean
01646500,2023-02-07 00:00:00+00:00,00060,Discharge,6670,ft3/s,A,Mean
01646500,2023-02-08 00:00:00+00:00,00060,Discharge,6470,ft3/s,A,Mean
01646500,2023-02-09 00:00:00+00:00,00060,Discharge,6180,ft3/s,A,Mean
01646500,2023-02-10 00:00:00+00:00,00060,Discharge,5970,ft3/s,A,Mean
01646500,2023-02-11 00:00:00+00:00,00060,Discharge,5710,ft3/s,A,Mean
01646500,2023-02-12 00:00:00+00:00,00060,Discharge,5700,ft3/s,A,Mean
01646500,2023-02-13 00:00:00+00:00,00060,Discharge,7700,ft3/s,A,Mean
01646500,2023-02-14 00:00:00+00:00,00060,Discharge,6850,ft3/s,A,Mean
01646500,2023-02-15 00:00:00+00:00,00060,Discharge,6480,ft3/s,A,Mean
01646500,2023-02-16 00:00:00+00:00,00060,Discharge,8440,ft3/s,A,Mean
01646500,2023-02-17 00:00:00+00:00,00060,Discharge,11600,ft3/s,A,Mean
01646500,2023-02-18 00:00:00+00:00,00060,Discharge,12500,ft3/s,A,Mean
01646500,2023-02-19 00:00:00+00:00,00060,Discharge,13600,ft3/s,A,Mean
01646500,2023-02-20 00:00:00+00:00,00060,Discharge,17000,ft3/s,A,Mean
01646500,2023-02-21 00:00:00+00:00,00060,Discharge,16300,ft3/s,A,Mean
01646500,2023-02-22 00:00:00+00:00,00060,Discharge,13500,ft3/s,A,Mean
01646500,2023-02-23 00:00:00+00:00,00060,Discharge,11900,ft3/s,A,Mean
01646500,2023-02-24 00:00:00+00:00,00060,Discharge,10600,ft3/s,A,Mean
01646500,2023-02-25 00:00:00+00:00,00060,Discharge,10000,ft3/s,A,Mean
01646500,2023-02-26 00:00:00+00:00,00060,Discharge,9660,ft3/s,A,Mean
01646500,2023-02-27 00:00:00+00:00,00060,Discharge,8970,ft3/s,A,Mean
01646500,2023-02-28 00:00:00+00:00,00060,Discharge,8760,ft3/s,A,Mean
01646500,2023-03-01 00:00:00+00:00,00060,Discharge,9300,ft3/s,A,Mean
01646500,2023-03-02 00:00:00+00:00,00060,Discharge,17800,ft3/s,A,Mean
01646500,2023-03-03 00:00:00+00:00,00060,Discharge,18700,ft3/s,A,Mean
01646500,2023-03-04 00:00:00+00:00,00060,Discharge,20800,ft3/s,A,Mean
01646500,2023-03-05 00:00:00+00:00,00060,Discharge,35700,ft3/s,A,Mean
01646500,2023-03-06 00:00:00+00:00,00060,Discharge,32300,ft3/s,A,Mean
01646500,2023-03-07 00:00:00+00:00,00060,Discharge,25200,ft3/s,A,Mean
01646500,2023-03-08 00:00:00+00:00,00060,Discharge,20700,ft3/s,A,Mean
01646500,2023-03-09 00:00:00+00:00,00060,Discharge,17100,ft3/s,A,Mean
01646500,2023-03-10 00:00:00+00:00,00060,Discharge,14700,ft3/s,A,Mean
01646500,2023-03-11 00:00:00+00:00,00060,Discharge,13000,ft3/s,A,Mean
01646500,2023-03-12 00:00:00+00:00,00060,Discharge,11500,ft3/s,A,Mean
01646500,2023-03-13 00:00:00+00:00,00060,Discharge,10900,ft3/s,A,Mean
01646500,2023-03-14 00:00:00+00:00,00060,Discharge,10200,ft3/s,"A, e",Mean
01646500,2023-03-15 00:00:00+00:00,00060,Discharge,9360,ft3/s,"A, e",Mean
01646500,2023-03-16 00:00:00+00:00,00060,Discharge,8630,ft3/s,A,Mean
01646500,2023-03-17 00:00:00+00:00,00060,Discharge,8130,ft3/s,A,Mean
01646500,2023-03-18 00:00:00+00:00,00060,Discharge,7690,ft3/s,A,Mean
01646500,2023-03-19 00:00:00+00:00,00060,Discharge,7240,ft3/s,A,Mean
01646500,2023-03-20 00:00:00+00:00,00060,Discharge,6870,ft3/s,A,Mean
01646500,2023-03-21 00:00:00+00:00,00060,Discharge,6560,ft3/s,A,Mean
