site_no,datetime,peak_value,gage_height,qualifier
01646500,1950-02-03 00:00:00+00:00,77200,10.01,
01646500,1950-12-06 00:00:00+00:00,140000,13.85,
01646500,1952-04-29 00:00:00+00:00,148000,14.17,
01646500,1952-11-23 00:00:00+00:00,140000,13.76,
01646500,1954-03-03 00:00:00+00:00,116000,12.47,
01646500,1955-08-20 00:00:00+00:00,216000,17.6,
01646500,1956-07-21 00:00:00+00:00,72500,10.75,
01646500,1957-04-07 00:00:00+00:00,78600,11.4,
01646500,1958-05-07 00:00:00+00:00,82100,12.02,
01646500,1959-06-04 00:00:00+00:00,61400,9.61,
01646500,1960-05-10 00:00:00+00:00,124000,13.66,
01646500,1961-02-21 00:00:00+00:00,116000,13.15,
01646500,1962-03-23 00:00:00+00:00,120000,13.43,
01646500,1963-03-21 00:00:00+00:00,128000,13.91,
01646500,1964-03-06 00:00:00+00:00,94800,11.85,
01646500,1965-03-07 00:00:00+00:00,111000,9.98,
01646500,1966-02-15 00:00:00+00:00,88700,9.04,
01646500,1967-03-09 00:00:00+00:00,147000,11.48,
01646500,1968-03-18 00:00:00+00:00,81400,8.71,
01646500,1969-03-27 00:00:00+00:00,30600,5.75,
01646500,1970-04-03 00:00:00+00:00,95600,9.34,
01646500,1971-02-24 00:00:00+00:00,91200,9.15,
01646500,1972-06-24 00:00:00+00:00,359000,22.03,
01646500,1972-10-08 00:00:00+00:00,90800,9.08,
01646500,1973-12-28 00:00:00+00:00,120000,10.36,
01646500,1975-09-27 00:00:00+00:00,195000,13.39,
01646500,1976-01-03 00:00:00+00:00,103000,9.59,
01646500,1976-10-11 00:00:00+00:00,208000,13.18,
01646500,1978-03-16 00:00:00+00:00,153000,10.83,
01646500,1979-02-26 00:00:00+00:00,206000,13.12,
01646500,1979-10-12 00:00:00+00:00,81700,8.15,
01646500,1981-04-15 00:00:00+00:00,55000,6.95,
01646500,1982-06-15 00:00:00+00:00,102000,8.91,
01646500,1983-04-26 00:00:00+00:00,128000,9.81,
01646500,1984-02-16 00:00:00+00:00,222000,13.73,
01646500,1985-02-14 00:00:00+00:00,106000,9.08,
01646500,1985-11-07 00:00:00+00:00,317000,17.99,
01646500,1987-04-19 00:00:00+00:00,167000,11.41,
01646500,1988-05-20 00:00:00+00:00,129000,9.83,
01646500,1989-05-18 00:00:00+00:00,107000,9.1,
01646500,1990-05-31 00:00:00+00:00,61000,7.24,
01646500,1990-10-25 00:00:00+00:00,102000,8.94,
01646500,1992-04-24 00:00:00+00:00,106000,9.07,
01646500,1993-03-06 00:00:00+00:00,189000,12.35,
01646500,1994-03-30 00:00:00+00:00,142000,10.37,
01646500,1995-01-17 00:00:00+00:00,101000,8.9,
01646500,1996-01-21 00:00:00+00:00,347000,19.29,
01646500,1996-12-03 00:00:00+00:00,105000,9.02,
01646500,1998-03-22 00:00:00+00:00,152000,10.79,
01646500,1999-03-20 00:00:00+00:00,46400,6.51,
01646500,2000-02-21 00:00:00+00:00,63500,7.36,
01646500,2001-03-23 00:00:00+00:00,75200,7.88,
01646500,2002-04-24 00:00:00+00:00,55400,6.97,
01646500,2003-09-21 00:00:00+00:00,167000,11.44,
01646500,2003-12-12 00:00:00+00:00,154000,10.87,
01646500,2005-03-30 00:00:00+00:00,140000,10.28,
01646500,2006-06-29 00:00:00+00:00,86500,8.34,
01646500,2007-04-17 00:00:00+00:00,116000,9.43,
01646500,2008-05-13 00:00:00+00:00,135000,10.04,
01646500,2009-05-06 00:00:00+00:00,124000,9.67,
01646500,2010-03-15 00:00:00+00:00,199000,12.82,
01646500,2011-04-18 00:00:00+00:00,173000,11.69,
01646500,2011-12-09 00:00:00+00:00,90000,8.48,
01646500,2012-10-31 00:00:00+00:00,141000,10.33,
01646500,2014-05-17 00:00:00+00:00,162000,11.7,
01646500,2015-04-22 00:00:00+00:00,62000,7.39,
01646500,2016-02-05 00:00:00+00:00,119000,9.84,
01646500,2017-05-07 00:00:00+00:00,81300,8.3,
01646500,2018-06-05 00:00:00+00:00,175000,12.47,
01646500,2018-12-17 00:00:00+00:00,156000,11.65,
01646500,2020-05-02 00:00:00+00:00,88300,8.85,
